vars,variable,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
1,Total_Household,60,4343.15,2293.8324,3514,3976.208333,1652.3577,1629,11211,9582,1.321743609,1.07591109,296.1324895
2,Electorate_2023,60,29844.71667,14857.29006,24943,28083.97917,11097.261,11305,63978,52673,0.949829678,-0.346407146,1918.067899
3,BPL_Households_Count,60,1503.833333,537.5621105,1360,1466.104167,527.0643,491,2892,2401,0.582270797,-0.351375736,69.39897005
4,MGNREGS_Active_Job_Cards,60,850.95,425.5361693,852.5,829.9583333,437.367,120,1987,1867,0.357002472,-0.428288579,54.93648323
5,PM_Awas_Yojana_Sanctioned,60,227.3,107.1822936,199.5,215.25,102.2994,89,506,417,0.839669806,-0.219990878,13.83717461
6,Health_Sub_Centres,60,8.683333333,4.848524733,8,8.4375,5.9304,2,18,16,0.362130541,-1.142027608,0.625941852
7,Govt_Primary_Schools,60,34.95,13.53391847,36.5,35.58333333,16.3086,8,55,47,-0.289206302,-1.047881605,1.747221361
8,PM_KISAN_Beneficiaries,60,749.2833333,336.3872411,735,737.6666667,400.302,176,1634,1458,0.346050571,-0.423284685,43.42740609
